General,number_of_battles,WAR,aWAR
"Louis Gonzaga, Duke of Nevers",1,-1.0402048363560057,-1.0402048363560057
"Louis Guillouet, comte d'Orvilliers",1,-0.04383083312728705,-0.04383083312728705
Louis Hébert (Confederate Army officer),1,0.951566843330118,0.951566843330118
"Louis I d'Orléans, duc de Longueville",1,-1.0506488753712724,-1.0506488753712724
Louis II de la Trémoille,3,0.7977375097683264,0.26591250325610877
Louis IX of France,2,-0.09224625026264699,-0.046123125131323495
"Louis Joseph, Duke of Vendôme",3,0.8784360328396863,0.2928120109465621
Louis Keppel Hamilton,1,-1.0573510882113752,-1.0573510882113752
Louis Lebègue Duportail,1,-1.0444821220199378,-1.0444821220199378
Louis M. Goldsborough,1,0.9484016665364305,0.9484016665364305
"Louis Mountbatten, 1st Earl Mountbatten of Burma",1,-1.0484337896419436,-1.0484337896419436
Louis Nicolas Victor de Félix d'Ollières,1,-1.0072902891563766,-1.0072902891563766
Louis Riel,1,-1.0485125946636042,-1.0485125946636042
Louis Ruquoy,1,0.419869995157774,0.419869995157774
Louis Thomas Villaret de Joyeuse,1,-1.0446938281326543,-1.0446938281326543
Louis VII of France,1,-1.064257774694196,-1.064257774694196
"Louis William, Margrave of Baden-Baden",3,0.8450040869942355,0.28166802899807847
Louis XII of France,1,0.9420719459211173,0.9420719459211173
Louis XIV of France,3,2.486541482538011,0.8288471608460037
Louis XV of France,1,0.963381409387145,0.963381409387145
"Louis d'Armagnac, Duke of Nemours",1,-1.0350558072522584,-1.0350558072522584
Louis d'Aubusson de La Feuillade,1,-1.0354575458945205,-1.0354575458945205
Louis de Buade de Frontenac,1,0.9521994989056185,0.9521994989056185
"Louis de Crevant, Duke of Humières",1,0.9408060017980546,0.9408060017980546
"Louis de Duras, 2nd Earl of Feversham",1,0.9506170687517902,0.9506170687517902
"Louis de Gramont, 6th Duke of Gramont",1,-1.0397141068710858,-1.0397141068710858
Louis de Sancerre,1,0.9465027503518366,0.9465027503518366
Louis of Nassau,5,-3.4767966151827947,-0.6953593230365589
Louis the Child,1,-1.0674226350018525,-1.0674226350018525
Louis the German,1,0.9990394314589366,0.9990394314589366
"Louis, Count of Clermont",1,-1.0335586297099266,-1.0335586297099266
